identical,SurfMatches,PCLMatches,ICPSimilarityscore,ColorHistDistance,confidence,mockedPipeline
0,23,9,0.00024014299999999998,0.848992,-1,1
1,18,21,2.39486e-05,0.8448389999999999,-1,1
0,16,2,0.00031721799999999997,0.8303780000000001,-1,1
0,22,8,0.000176632,0.8743290000000001,-1,1
1,31,18,2.55236e-05,0.656794,-1,0
0,25,7,0.000181626,0.5788949999999999,-1,0
0,17,2,0.000307438,0.789684,-1,0
0,23,7,0.000188592,0.8280719999999999,-1,1
1,12,18,2.56734e-05,0.7845449999999999,-1,1
0,14,3,0.00031806,0.795823,-1,1
0,14,9,0.000218398,0.7651020000000001,-1,1
1,15,6,4.03535e-05,0.6522359999999999,-1,0
0,11,1,0.000319058,0.9138379999999999,-1,0
0,49,8,0.000183747,0.926466,-1,1
1,16,9,4.11234e-05,0.948615,-1,1
0,33,3,0.000313731,0.929585,-1,1
0,28,10,0.00022026,0.948441,-1,1
0,15,3,0.00033814800000000003,0.8155979999999999,-1,0
0,20,10,0.000218508,0.849649,-1,1
0,43,7,0.00019092599999999998,0.8691780000000001,-1,1
0,14,1,0.000320514,0.8262309999999999,-1,1
1,15,9,4.1905699999999994e-05,0.8459540000000001,-1,1
1,28,14,2.82496e-05,0.655034,-1,0
0,12,5,0.00031989599999999996,0.806008,-1,0
0,32,9,0.000208757,0.836201,-1,1
1,30,14,2.6133899999999997e-05,0.8344870000000001,-1,1
0,26,2,0.000309496,0.8187260000000001,-1,1
0,71,7,0.00017596299999999998,0.86269,-1,1
0,12,9,0.000170331,0.814122,-1,0
0,13,2,0.00024713,0.8458379999999999,-1,1
0,39,9,0.000144632,0.8692139999999999,-1,1
1,14,16,1.85728e-05,0.8220129999999999,-1,1
0,31,4,0.000260778,0.848615,-1,1
0,11,2,0.000317199,0.917484,-1,0
0,22,9,0.00024014099999999998,0.949815,-1,1
1,20,14,2.68217e-05,0.949084,-1,1
0,38,8,0.00017696099999999997,0.9345040000000001,-1,1
0,35,2,0.000324312,0.9137799999999999,-1,1
0,10,6,0.00020209900000000002,0.799975,-1,0
0,30,6,0.00018564900000000002,0.8587309999999999,-1,1
1,15,15,2.8531799999999997e-05,0.818538,-1,1
0,19,2,0.00033479800000000003,0.838324,-1,1
0,12,1,0.000326825,0.83739,-1,1
0,13,8,0.00023517,0.80028,-1,0
0,37,7,0.000181626,0.859815,-1,1
0,30,1,0.000331641,0.8399780000000001,-1,1
1,13,11,2.70026e-05,0.816638,-1,1
0,14,3,0.000315829,0.838672,-1,1
0,11,6,0.000209459,0.802922,-1,0
1,13,12,2.87561e-05,0.8149109999999999,-1,1
0,20,7,0.000188592,0.862294,-1,1
0,10,3,0.000318034,0.8396399999999999,-1,1
0,15,1,0.000325005,0.84257,-1,1
0,12,9,0.00022082099999999998,0.810792,-1,0
0,44,4,0.000186845,0.861776,-1,1
1,17,13,2.86342e-05,0.8142149999999999,-1,1
0,15,3,0.000323505,0.839807,-1,1
0,27,1,0.00032988099999999997,0.841677,-1,1
0,13,7,0.00018602099999999997,0.607001,-1,0
0,29,2,0.00033153699999999997,0.623563,-1,1
0,26,9,0.00022012599999999999,0.608282,-1,1
0,18,3,0.000324252,0.624091,-1,1
1,20,13,2.94952e-05,0.606544,-1,1
0,17,6,0.000335561,0.81472,-1,0
0,23,8,0.00021827900000000002,0.845659,-1,1
0,18,7,0.000193358,0.868232,-1,1
1,13,13,2.9502e-05,0.843376,-1,1
0,12,3,0.00032559099999999997,0.825945,-1,1
0,22,5,0.00032408400000000004,0.773749,-1,0
0,16,3,0.000327674,0.779849,-1,1
0,21,8,0.000181675,0.812157,-1,1
1,11,14,2.82496e-05,0.77063,-1,1
0,22,10,0.000214313,0.7477600000000001,-1,1
0,10,6,0.00030997,0.9098639999999999,-1,0
0,40,5,0.000319969,0.9264629999999999,-1,1
1,30,14,2.6133899999999997e-05,0.942016,-1,1
0,44,10,0.00024395099999999998,0.9280379999999999,-1,1
0,29,6,0.00017831,0.927796,-1,1
1,21,9,4.53971e-05,0.649993,-1,0
0,12,10,0.000183681,0.6008600000000001,-1,0
0,15,7,0.00023832,0.804094,-1,0
0,24,4,0.00032987,0.839232,-1,1
0,30,4,0.00033422,0.8347379999999999,-1,1
1,20,8,4.60502e-05,0.816842,-1,1
0,21,8,0.00018794,0.8609399999999999,-1,1
1,17,9,4.16131e-05,0.643961,-1,0
0,21,6,0.000164013,0.577508,-1,0
1,29,20,2.5574699999999998e-05,0.64818,-1,0
0,16,6,0.00034458,0.830475,-1,0
1,19,17,2.67107e-05,0.853643,-1,1

