identical,SurfMatches,PCL Matches,ICP Similarityscore
1,10,3,1.61349e-05
1,13,3,2.1280300000000007e-05
1,15,3,2.05176e-05
1,14,2,2.06552e-05
1,10,2,2.21558e-05
1,15,3,1.86189e-05
1,11,5,2.89429e-05
1,11,3,2.65363e-05
1,9,2,1.45716e-05
1,12,3,2.29413e-05
1,11,3,2.32354e-05
1,9,3,1.6676500000000002e-05
1,9,5,1.90168e-05
1,10,5,2.3843400000000006e-05
1,11,4,2.45707e-05
1,13,4,1.88763e-05
1,70,4,2.16876e-05
1,71,5,2.17621e-05
1,70,4,2.59596e-05
1,74,7,2.37087e-05
1,63,3,2.2256e-05
1,59,5,2.46912e-05
