identical,SurfMatches,ICP Similarityscore,ColorHistDistance
0,11,1.73265e-05,0.855775
0,20,0.000214626,0.626522
0,17,0.000223148,0.6051770000000001
0,17,0.000219961,0.595489
0,21,0.000230826,0.613183
0,19,0.000224921,0.616302
0,14,0.000239684,0.628419
0,10,0.000233202,0.6822520000000001
0,15,0.000218217,0.611046
0,20,0.000217409,0.6152529999999999
0,18,0.000215522,0.606735
1,18,0.000210667,0.615243
1,19,0.000237818,0.6196510000000001
1,12,0.000220537,0.674719
0,8,0.000310652,0.76459
1,17,0.000230224,0.6218239999999999
1,20,0.000218983,0.618358
1,19,0.000229364,0.617265
1,17,0.000220931,0.616751
1,24,0.000230211,0.612462
1,9,9.09039e-05,0.70681
0,11,8.547049999999999e-05,0.703651
0,11,8.30944e-05,0.703444
0,13,7.9998e-05,0.7172850000000001
0,13,8.31759e-05,0.705797
0,9,8.18775e-05,0.715426
0,11,8.36132e-05,0.7069439999999999
0,12,8.570549999999999e-05,0.721416
0,10,8.24624e-05,0.711477
0,13,8.49203e-05,0.709665
0,13,8.43341e-05,0.702163
0,12,8.21642e-05,0.714623
0,14,8.343530000000001e-05,0.712387
0,12,8.32754e-05,0.713807
0,15,8.15207e-05,0.715512
0,14,7.89969e-05,0.0
0,8,0.00118295,0.788013
0,11,0.00118331,0.730163
0,15,0.00120168,0.7228829999999999
0,14,0.00124952,0.7212850000000001
0,14,0.0012199,0.728229
0,15,0.00125214,0.733939
0,18,0.00122927,0.737594
0,16,0.00123122,0.743287
0,22,0.00122749,0.742124
0,14,0.00119143,0.7369640000000001
0,12,0.00119558,0.72444
0,15,0.00122508,0.7255229999999999
0,10,0.00117484,0.7696189999999999
0,16,0.00124545,0.717957
0,9,0.00114721,0.747239
0,9,0.0011431,0.752677
0,9,5.77003e-05,0.801541
0,9,5.40003e-05,0.794416
0,12,4.92576e-05,0.785313
0,9,4.11331e-05,0.773961
0,10,4.80248e-05,0.8042060000000001
0,13,4.45109e-05,0.783257
0,9,4.24254e-05,0.7855800000000001
0,9,4.67088e-05,0.795712
0,11,5.05733e-05,0.7876270000000001
0,11,4.6658e-05,0.7880739999999999
0,13,5.70355e-05,0.78999
0,10,5.78226e-05,0.7907270000000001
0,10,4.43784e-05,0.781568
0,12,6.05065e-05,0.797603
0,11,4.18531e-05,0.789269
0,15,0.000170077,0.803297
0,17,0.000194139,0.783772
0,17,0.000191237,0.7949930000000001
0,13,0.000180813,0.805854
1,60,9.12651e-06,0.754488
1,53,7.09227e-06,0.758555
1,63,8.628089999999999e-06,0.75845
1,62,8.29286e-06,0.753834
1,64,7.47807e-06,0.753019
1,62,8.7348e-06,0.753768
1,59,8.05743e-06,0.756871
1,69,7.68363e-06,0.7536510000000001
1,61,7.818099999999999e-06,0.7561479999999999
1,62,7.25946e-06,0.752249
0,10,4.8354e-05,0.8280299999999999
0,10,4.3365e-05,0.820311
0,8,6.01663e-05,0.8224020000000001
0,10,5.54858e-05,0.826799
0,10,5.15794e-05,0.8205030000000001
0,9,4.03835e-05,0.8219870000000001
0,10,5.08792e-05,0.826752
0,11,5.5049e-05,0.81913
0,10,2.81969e-05,0.819148
0,7,5.12233e-05,0.827767
0,12,0.000612116,0.8604370000000001
0,11,0.000603893,0.8735930000000001
0,11,0.000618899,0.8573799999999999
0,10,0.000592977,0.863392
0,9,0.000626849,0.899249
0,11,0.000612162,0.865115
0,13,0.000608356,0.866325
0,11,0.000634443,0.8613540000000001
0,11,0.0006249340000000001,0.85683
0,10,0.000624183,0.858302
0,9,1.0891300000000004e-05,0.850973
0,12,1.12473e-05,0.845517
0,8,1.16884e-05,0.847134
0,11,1.0038e-05,0.853794
0,11,1.31927e-05,0.855352
