identical,SurfMatches,PCL Matches,ColorHistDistance
1,66,8,0.750356
1,65,10,0.753342
1,67,7,0.748356
1,60,8,0.756668
1,65,12,0.755079
1,8,5,0.806822
1,65,5,0.759562
1,61,7,0.76227
1,57,8,0.761606
1,54,4,0.7551720000000001
1,54,7,0.7527
1,9,5,0.8074439999999999
1,68,7,0.7545930000000001
1,53,7,0.75675
1,62,7,0.756977
1,60,5,0.757165
1,57,6,0.750762
1,53,7,0.751592
1,61,4,0.752372
1,54,5,0.7552770000000001
1,64,6,0.7563300000000001
1,61,4,0.758351
1,60,4,0.762055
1,71,4,0.759
1,57,6,0.7552300000000001
1,62,9,0.75449
1,56,8,0.761051
1,67,9,0.7598659999999999
1,68,9,0.7548520000000001
1,69,6,0.7564609999999999
1,63,10,0.755275
1,57,9,0.758545
1,69,8,0.756738
1,67,9,0.761447
1,67,8,0.7525390000000001
1,61,7,0.761832
1,70,9,0.7532939999999999
1,59,8,0.756904
1,8,5,0.805196
1,58,10,0.7535810000000001
1,68,6,0.758837
1,63,9,0.754533
1,54,7,0.756229
1,69,7,0.752178
1,67,7,0.758987
1,75,7,0.7515470000000001
1,65,4,0.754497
1,53,4,0.754184
1,66,7,0.763811
1,55,8,0.755778
1,69,9,0.752648
1,61,6,0.75627
1,61,9,0.761035
1,56,7,0.7536430000000001
1,66,7,0.753414
1,67,9,0.747602
1,72,10,0.75817
1,11,4,0.8075640000000001
1,68,7,0.754918
1,65,5,0.7571680000000001
1,67,9,0.761441
1,60,9,0.758468
1,47,8,0.755524
1,8,5,0.802539
1,72,9,0.753135
1,65,4,0.756905
1,61,6,0.754736
1,61,7,0.755087
1,64,7,0.753931
1,65,8,0.7581720000000001
1,65,9,0.0
1,59,7,0.756196
1,62,4,0.754728
1,58,6,0.7529710000000001
1,59,6,0.754242
1,63,8,0.762606
1,64,6,0.754302
1,63,5,0.750455
1,10,3,0.796571
1,13,3,0.796442
1,15,3,0.799231
1,14,2,0.799784
1,10,2,0.7984060000000001
1,15,3,0.798791
1,11,5,0.7962640000000001
1,11,3,0.799629
1,9,2,0.7950109999999999
1,12,3,0.803372
1,11,3,0.8020520000000001
1,9,3,0.796395
1,9,5,0.804755
1,10,5,0.803868
1,11,4,0.792132
1,13,4,0.794909
1,70,4,0.7501800000000001
1,71,5,0.754884
1,70,4,0.759583
1,74,7,0.7613949999999999
1,63,3,0.756885
1,59,5,0.752112
